anio,indicador,valor_pct,ambito,fuente,url,fecha_descarga
2016-2017,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),13.4,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4 (base: cuadro 3.14 Informe Principal ENDES 2024). Periodos 2016-2017 y 2017-2018 son promedios bienales.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2016-2017,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),10.7,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4 (base: cuadro 3.14 Informe Principal ENDES 2024). Periodos 2016-2017 y 2017-2018 son promedios bienales.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2016-2017,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),23.2,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4 (base: cuadro 3.14 Informe Principal ENDES 2024). Periodos 2016-2017 y 2017-2018 son promedios bienales.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2017-2018,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),12.6,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4 (base: cuadro 3.14 Informe Principal ENDES 2024). Periodos 2016-2017 y 2017-2018 son promedios bienales.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2017-2018,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),10.1,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4 (base: cuadro 3.14 Informe Principal ENDES 2024). Periodos 2016-2017 y 2017-2018 son promedios bienales.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2017-2018,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),22.7,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4 (base: cuadro 3.14 Informe Principal ENDES 2024). Periodos 2016-2017 y 2017-2018 son promedios bienales.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2019,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),[NO DISPONIBLE - https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf],Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4: 2019 no publicado como ano simple; la serie pasa de promedios bienales (hasta 2017-2018) a anos simples desde 2020.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2020,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),8.3,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. RUPTURA DE SERIE: 2020-2024 son anos simples (muestreo equilibrado 2015-2024), no comparables directamente con los promedios bienales previos.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2020,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),6.9,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. RUPTURA DE SERIE: 2020-2024 son anos simples.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2020,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),12.4,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. RUPTURA DE SERIE: 2020-2024 son anos simples.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2021,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),8.9,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024 (muestreo equilibrado).",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2021,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),7.2,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2021,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),15.6,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2022,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),9.2,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2022,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),6.8,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2022,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),18.4,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2023,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),8.2,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2023,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),6.1,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2023,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),17.1,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2024,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),8.4,Total,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2024,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),6.1,Area urbana,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2024,Adolescentes 15-19 anos alguna vez embarazadas (ya son madres o embarazadas del primer hijo),18.3,Area rural,"INEI-ENDES Series Anuales 1986-2024, Cuadro N 3.4. Anos simples 2020-2024.",https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
