anio,tipo_violencia,prevalencia_pct,poblacion_referencia,fuente,url,fecha_descarga
2017,total,65.4,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2018,total,63.2,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2019,total,57.7,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2020,total,54.8,Mujeres 15-49 alguna vez unidas (a/ entrevista presencial),INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2021,total,54.9,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2022,total,55.7,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2023,total,53.8,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2024,total,52.0,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2017,psicologica,61.5,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia psicologica y/o verbal ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
2018,psicologica,58.9,Mujeres 15-49 alguna vez unidas,INEI-ENDES Series Anuales 1986-2024 (Cuadro 11.1 / base Cuadro 12.1.2 Informe Principal ENDES 2024) - Violencia psicologica y/o verbal ejercida alguna vez por el esposo o companero,https://proyectos.inei.gob.pe/files/publicaciones/2024/SERIES_ANUALES_1986_2024.pdf,2026-09-08
