anio,feminicidios,tentativas,ambito,fuente,url,fecha_descarga,nota
2017,[NO DISPONIBLE - https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/],[NO DISPONIBLE - https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/],Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/,2026-09-08,La serie del registro administrativo Warmi Nan/Aurora en el portal inicia en 2018; 2017 no publicado en este portal. Para 2017 recurrir a MPFN-Observatorio de Criminalidad o INEI (contexto).
2018,149,304,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios12-2018/Feminicidio2018,2026-09-08,"Feminicidios campo 'CNT(Count)' en https://public.tableau.com/views/Feminicidios12-2018/Feminicidio2018 ; tentativas campo 'SUM(Casos)' en https://public.tableau.com/views/TentativadeFeminicidio_12-2018/Tentativa2018. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2019,166,404,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios1-2019/Feminicidio2019,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios1-2019/Feminicidio2019 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa01-2019/Tentativa2019. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2020,131,330,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios01-2020/Feminicidio2020,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios01-2020/Feminicidio2020 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa01-2020/Casos_Tentativa_2020. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2021,136,293,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios12-2021/Feminicidio2021,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios12-2021/Feminicidio2021 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa12-2021/Casos_Tentativa_2021. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2022,130,223,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios2022/Feminicidio2022,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios2022/Feminicidio2022 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa2022/Casos_Tentativa_2022. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2023,170,258,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios2023/Feminicidio2023,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios2023/Feminicidio2023 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa2023/Casos_Tentativa_2023. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2024,162,233,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios2024/Feminicidio2024,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios2024/Feminicidio2024 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa2024/Casos_Tentativa_2024. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2025,134,270,Nacional,"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios2025/Feminicidio2025,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios2025/Feminicidio2025 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa2025/Casos_Tentativa_2025. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
2026,83,159,Nacional (preliminar ene-jul),"Programa Nacional Warmi Nan (ex-Aurora), MIMP - Portal Estadistico (registro administrativo; dashboards Tableau Public embebidos)",https://public.tableau.com/views/Feminicidios2026/Feminicidio2026,2026-09-08,"Feminicidios campo 'SUM(Recuento)' en https://public.tableau.com/views/Feminicidios2026/Feminicidio2026 ; tentativas campo 'SUM(Recuento)' en https://public.tableau.com/views/Tentativa2026/Casos_Tentativa_2026. Paginas de origen: https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-feminicidio/ y https://portalestadistico.warminan.gob.pe/casos-con-caracteristicas-de-tentativa-de-feminicidio/. PRELIMINAR (acumulado ene-jul 2026, boletin del portal). CONTEXTO de corresponsabilidad multisectorial (investiga Ministerio Publico, sanciona Poder Judicial); NO es atribucion directa al MIMP. Cifra = total nacional del dashboard Tableau del portal Warmi Nan, extraida via bootstrapSession el 2026-09-08."
