anio,servicio,consultas,fuente,url,fecha_descarga
2017,Linea 100,[NO DISPONIBLE],"Cartilla 2017 no ubicada en el portal (migracion de plataforma)",https://portalestadistico.warminan.gob.pe/linea-100-consultas-telefonicas/,2026-09-08
2018,Linea 100,75988,"Cartilla Estadistica PNCVFS N12-Diciembre 2018, seccion V Linea 100 (consultas por violencia)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2019/01/Cartilla-Estad%C3%ADstica-PNCVFS-12-Diciembre-2018.pdf,2026-09-08
2019,Linea 100,119786,"Cartilla Estadistica AURORA N12-2019, seccion V Linea 100 (consultas por violencia)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2020/11/Cartilla-Estadistica-AURORA-Ano-2019-1.pdf,2026-09-08
2020,Linea 100,235791,"Cartilla Estadistica AURORA N09-2020, seccion V Linea 100 (llamadas telefonicas informando hechos de violencia); pico por COVID-19",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2021/01/Cartilla-Estadistica-AURORA-Diciembre-2020.pdf,2026-09-08
2021,Linea 100,208199,"Cartilla Estadistica AURORA N12-2021, seccion V Linea 100 (llamadas telefonicas informando hechos de violencia)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2022/01/Cartilla-Estadistica-AURORA-Diciembre-2021-1.pdf,2026-09-08
2022,Linea 100,170780,"Cartilla Estadistica AURORA Diciembre 2022, seccion V Linea 100 (llamadas telefonicas informando hechos de violencia)",https://portalestadistico.warminan.gob.pe/wp-content/uploads/2023/01/Cartilla-Estadistica-AURORA-Diciembre-2022.pdf,2026-09-08
2023,Linea 100,143644,"Cartilla Estadistica AURORA 2023, seccion V Linea 100 (llamadas telefonicas informando hechos de violencia); espejo Observatorio San Martin",https://observatorioviolenciasanmartin.pe/wp-content/uploads/2024/05/Cartilla-Estadistica-AURORA-2023.pdf,2026-09-08
2024,Linea 100,137741,"Prensa MIMP (RPP 23-dic-2024): 137741 llamadas efectivas por violencia de un total de mas de 360000 recibidas en 2024. Cifra de prensa (no cartilla)",https://rpp.pe/peru/actualidad/ministerio-de-la-mujer-linea-100-atendio-mas-de-137-mil-llamadas-este-ano-de-victimas-de-violencia-video-noticia-1606106,2026-09-08
2025,Linea 100,160796,"Nota gob.pe/Warmi Nan: en 2025 la Linea 100 atendio 249730 llamadas, de las cuales 160796 fueron atenciones efectivas de casos reales (por violencia)",https://www.gob.pe/institucion/warmi%C3%B1an/noticias/1386299-mimp-linea-100-cumple-20-anos-y-supera-las-200-mil-llamadas-recibidas-en-un-ano,2026-09-08
2017,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (carga via AJAX/PowerBI, no descargable por script)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2018,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2019,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2020,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2021,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2022,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2023,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2024,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
2025,Chat 100,[NO DISPONIBLE],"Serie anual de Chat 100 en portal interactivo (AJAX)",https://portalestadistico.warminan.gob.pe/resumen-estadistico-de-consultas-chat-100/,2026-09-08
