instrumento,indicador,linea_base_valor,linea_base_anio,meta_valor,meta_anio,valor_real_reciente,fuente,url,fecha_consulta
"PNIG (DS 008-2019-MIMP)","Porcentaje de mujeres de 15+ victimas de violencia fisica y/o sexual, en relaciones de pareja, en los ultimos 12 meses",10.6,2017,2.4,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - situacion futura deseada (El Peruano 04-04-2019, p.27-28); OP1 Logro Esperado tabla = 2.40%",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de mujeres victimas de violencia fisica y/o sexual en relaciones de pareja, ultimos 12 meses (meta anualizada intermedia)",9.6,2018,4.8,2026,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Metas proyectadas 2010-2018 (El Peruano 04-04-2019, p.28). Trayectoria: 2019=9.0; 2020=8.4; 2021=7.8; 2022=7.2; 2023=6.6; 2024=6.0; 2025=5.4; 2026=4.8; 2027=4.2; 2028=3.6; 2029=3.0; 2030=2.4",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Indice de tolerancia social a patrones socioculturales discriminatorios (tolerancia social hacia la violencia contra las mujeres)",54.8,2015,36.8,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - situacion futura deseada (54,8% en 2015 a 36,8% en 2030); OP6 Logro Esperado tabla = 36.81%",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de embarazo adolescente (mujeres 15-19 anios)",13.4,2017,7.2,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - situacion futura deseada (13,4% en 2017 a 7,2% en 2030); OP2 Logro Esperado tabla = 7.16%",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de mujeres congresistas",28.5,2016,40,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - situacion futura deseada (28,5% en 2016 a 40% en 2030)",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de mujeres alcaldesas",2.8,2014,20,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - situacion futura deseada (2,8% en 2014 a 20% en 2030)",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Tasa de paridad de los ingresos de mujeres respecto de hombres",80,2017,86.8,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - situacion futura deseada (80% en 2017 a 86,8% en 2030)",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de mujeres que utilizan metodos anticonceptivos (OP2)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,84.90,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Objetivos prioritarios/Indicadores/Logro Esperado (linea base en Anexo 4 Fichas tecnicas, no incluido en la publicacion de El Peruano)",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Proporcion de mujeres con demanda insatisfecha de planificacion familiar (OP2)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,1.68,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Indice de empoderamiento politico de las mujeres (OP3)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,27.42,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de participacion de servidoras civiles funcionarias y directivas (OP3)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,38.17,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Indice de empoderamiento economico de las mujeres (OP4)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,92.25,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Indice de empoderamiento social de las mujeres (OP4)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,97.10,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Indice de empoderamiento social de ninas y adolescentes (OP4)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,96.45,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de entidades publicas que incorporan el enfoque de genero en la gestion institucional (OP5)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,54.00,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Brecha salarial entre el hombre y la mujer en el sector publico (OP5)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,7.81,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"PNIG (DS 008-2019-MIMP)","Porcentaje de participacion de la mujer en el servicio civil (OP5)",[NO DISPONIBLE - https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm],,54.72,2030,,"Politica Nacional de Igualdad de Genero, DS 008-2019-MIMP - tabla Logro Esperado",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
"Estrategia Nacional Mujeres Libres de Violencia (DS 022-2021-MIMP)","Indice de tolerancia social a patrones socioculturales discriminatorios (indicador de objetivo; adoptado de la PNIG)",54.8,2015,36.8,2030,,"Estrategia Nacional de Prevencion de la Violencia de Genero contra las Mujeres 'Mujeres Libres de Violencia', DS 022-2021-MIMP - la Estrategia trabaja en su mayoria con indicadores existentes de la PNIG y del PPoR de Reduccion de la Violencia contra la Mujer (25 indicadores); su indicador de objetivo es el indice de tolerancia social de la PNIG. Vigencia 2021-2030",https://cdn.www.gob.pe/uploads/document/file/2935181/Estrategia-Nacional-de-prevencion-de-la-violencia-de-genero-contra-las-mujeres.pdf.pdf,2026-09-08
"PEI 2025-2030 MIMP (RM 024-2025-MIMP)","OEI.01 - Porcentaje de personas afectadas por violencia contra las mujeres e integrantes del grupo familiar (atendidas por CEM) que fueron insertadas al sistema de justicia",76.6,2023,81.6,2030,,"Plan Estrategico Institucional 2025-2030 del MIMP, Anexo RM N 024-2025-MIMP - Ficha tecnica OEI.01 (logros esperados: 2025=78.7%; 2026=79.4%; 2027=79.9%; 2028=80.6%; 2029=81.1%; 2030=81.6%)",https://cdn.www.gob.pe/uploads/document/file/7569710/6427622-anexo-rm-n-024-2025-mimp.pdf,2026-09-08
"PEI 2025-2030 MIMP (RM 024-2025-MIMP)","AEI (OEI.01) - Porcentaje de distritos que cuentan con al menos un servicio de prevencion de la violencia contra las mujeres",28.1,2024,43.1,2030,,"Plan Estrategico Institucional 2025-2030 del MIMP, Anexo RM N 024-2025-MIMP - Ficha tecnica (logros esperados: 2026=31.1%; 2027=34.1%; 2028=37.1%; 2029=40.1%; 2030=43.1%)",https://cdn.www.gob.pe/uploads/document/file/7569710/6427622-anexo-rm-n-024-2025-mimp.pdf,2026-09-08
"PEI 2025-2030 MIMP (RM 024-2025-MIMP)","OEI.02 - Porcentaje de Ninas, Ninos o Adolescentes en situacion de riesgo o desproteccion familiar con derechos restituidos oportunamente",1.5,2024,2,2030,,"Plan Estrategico Institucional 2025-2030 del MIMP, Anexo RM N 024-2025-MIMP - Ficha tecnica OEI.02",https://cdn.www.gob.pe/uploads/document/file/7569710/6427622-anexo-rm-n-024-2025-mimp.pdf,2026-09-08
"PEI 2025-2030 MIMP (RM 024-2025-MIMP)","OEI.03 - Porcentaje de Personas Adultas Mayores en situacion de riesgo atendidas por servicios del MIMP con derechos restituidos",46.0,2024,55.7,2030,,"Plan Estrategico Institucional 2025-2030 del MIMP, Anexo RM N 024-2025-MIMP - Ficha tecnica OEI.03",https://cdn.www.gob.pe/uploads/document/file/7569710/6427622-anexo-rm-n-024-2025-mimp.pdf,2026-09-08
"PEI 2025-2030 MIMP (RM 024-2025-MIMP)","OEI.04 - Indice de empoderamiento economico de las mujeres",0.7,2023,0.92,2030,,"Plan Estrategico Institucional 2025-2030 del MIMP, Anexo RM N 024-2025-MIMP - Ficha tecnica OEI.04 (escala 0-1)",https://cdn.www.gob.pe/uploads/document/file/7569710/6427622-anexo-rm-n-024-2025-mimp.pdf,2026-09-08
"PEI 2025-2030 MIMP (RM 024-2025-MIMP)","OEI.05 - Indice de Transversalizacion del enfoque de genero en las entidades publicas de los tres niveles de gobierno",0.13,2023,0.39,2030,,"Plan Estrategico Institucional 2025-2030 del MIMP, Anexo RM N 024-2025-MIMP - Ficha tecnica OEI.05 (escala 0-1)",https://cdn.www.gob.pe/uploads/document/file/7569710/6427622-anexo-rm-n-024-2025-mimp.pdf,2026-09-08
