tipo,numero,nombre,anio,rol_mimp,fuente,url,fecha_consulta
Ley,30364,"Ley para prevenir, sancionar y erradicar la violencia contra las mujeres y los integrantes del grupo familiar",2015,"MIMP es ente rector del Sistema Nacional para la Prevencion, Sancion y Erradicacion de la Violencia contra las Mujeres e Integrantes del Grupo Familiar; preside la Comision Multisectorial de Alto Nivel y gestiona el Observatorio Nacional de la Violencia (publicada 23-nov-2015)","El Peruano - Congreso de la Republica",https://busquedas.elperuano.pe/dispositivo/NL/1314999-1,2026-09-08
Decreto Supremo,009-2016-MIMP,"Reglamento de la Ley 30364",2016,"MIMP reglamenta la Ley 30364 y define los procesos de proteccion y atencion","El Peruano","[NO DISPONIBLE — https://busquedas.elperuano.pe]",2026-09-08
Decreto Legislativo,1323,"Decreto Legislativo que fortalece la lucha contra el feminicidio, la violencia familiar y la violencia de genero",2017,"Modifica el Codigo Penal endureciendo penas por feminicidio, lesiones y violencia de genero; refuerza el marco que el MIMP implementa via el Sistema Nacional (publicado 06-ene-2017)","El Peruano - Poder Ejecutivo",https://busquedas.elperuano.pe/dispositivo/NL/1471010-2,2026-09-08
Ley,30819,"Ley que modifica el Codigo Penal y el Codigo de los Ninos y Adolescentes (amplia el tipo penal de feminicidio y de lesiones)",2018,"Refuerza la sancion penal de la violencia de genero; el MIMP actua como ente rector de prevencion (publicada 13-jul-2018)","El Peruano - Congreso de la Republica",https://busquedas.elperuano.pe/dispositivo/NL/1669642-1,2026-09-08
Decreto Legislativo,1386,"Decreto Legislativo que modifica la Ley 30364",2018,"Ajusta la Ley 30364 para articularla con el Codigo Penal y Procesal Penal (publicado 04-sep-2018); marco operado por el MIMP","El Peruano","[NO DISPONIBLE — https://busquedas.elperuano.pe]",2026-09-08
Ley,30862,"Ley que fortalece diversas normas para prevenir, sancionar y erradicar la violencia contra las mujeres y los integrantes del grupo familiar (modifica la Ley 30364)",2018,"Fortalece la Ley 30364; MIMP como ente rector (publicada 05-oct-2018)","El Peruano","[NO DISPONIBLE — https://busquedas.elperuano.pe]",2026-09-08
Ley,30068,"Ley que incorpora el articulo 108-A al Codigo Penal y modifica los articulos 107, 46-B y 46-C del Codigo Penal y el articulo 46 del Codigo de Ejecucion Penal, con la finalidad de prevenir, sancionar y erradicar el feminicidio",2013,"Tipifica el feminicidio en el Codigo Penal; base penal del marco que el MIMP monitorea via el Observatorio Nacional (publicada 18-jul-2013)","El Peruano - Congreso de la Republica",https://busquedas.elperuano.pe/normaslegales/ley-que-incorpora-el-articulo-108-a-al-codigo-penal-y-modifi-ley-n-30068-963880-1,2026-09-08
Ley,28983,"Ley de igualdad de oportunidades entre mujeres y hombres",2007,"Marco de politica de igualdad de genero que el MIMP rige; base normativa de la Politica Nacional de Igualdad de Genero (publicada 16-mar-2007)","Congreso de la Republica (texto oficial)",https://www2.congreso.gob.pe/sicr/cendocbib/con4_uibd.nsf/3C27C521D3D530F3052579F90061EF49/$FILE/6_LEY_28983.pdf,2026-09-08
Decreto Supremo,008-2019-MIMP,"Aprueba la Politica Nacional de Igualdad de Genero (PNIG)",2019,"Instrumento rector de politica nacional disenado y conducido por el MIMP; principal politica nacional de genero del Estado (publicado 04-abr-2019)","El Peruano - MIMP",https://elperuano.pe/NormasElperuano/2019/04/04/1757065-1/1757065-1.htm,2026-09-08
Decreto Supremo,004-2020-MIMP,"Aprueba el Texto Unico Ordenado (TUO) de la Ley 30364",2020,"El MIMP consolida y ordena el marco normativo vigente de la Ley 30364 y sus modificatorias","El Peruano - MIMP","[NO DISPONIBLE — https://busquedas.elperuano.pe]",2026-09-08
Decreto Supremo,022-2021-MIMP,"Aprueba la Estrategia Nacional de Prevencion de la Violencia de Genero contra las Mujeres 'Mujeres libres de violencia'",2021,"Estrategia nacional de prevencion disenada y liderada por el MIMP; herramienta de gestion multisectorial (publicado 26-jul-2021)","El Peruano - MIMP",https://busquedas.elperuano.pe/normaslegales/decreto-supremo-que-aprueba-la-estrategia-nacional-de-preven-decreto-supremo-n-022-2021-mimp-1976374-3,2026-09-08
