nombre,cargo,fecha_inicio,fecha_fin,norma_designacion,fuente,url,fecha_consulta
Ana Maria Romero-Lozada Lauezzari,Ministra de la Mujer y Poblaciones Vulnerables,2016-07-28,2017-07-27,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","EducacionEnRed / Gobierno PPK (sucedida por Choquehuanca en jul-2017)",https://noticia.educacionenred.pe/2017/07/ana-maria-choquehuanca-juramento-como-ministra-mujer-poblaciones-vulnerables-128264.html,2026-09-08
Ana Maria Choquehuanca de Villanueva,Ministra de la Mujer y Poblaciones Vulnerables,2017-07-27,2018-04-02,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","EducacionEnRed (juramentacion jul-2017, gobierno PPK)",https://noticia.educacionenred.pe/2017/07/ana-maria-choquehuanca-juramento-como-ministra-mujer-poblaciones-vulnerables-128264.html,2026-09-08
Ana Maria Mendieta Trefogli,Ministra de la Mujer y Poblaciones Vulnerables,2018-04-02,2019-03-11,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","MIMP / gob.pe (juramento 02-abr-2018, gobierno Vizcarra)",https://www.gob.pe/institucion/mimp/noticias/4312-ana-maria-mendieta-trefogli-jura-como-ministra-de-la-mujer-y-poblaciones-vulnerables,2026-09-08
Gloria Montenegro Figueroa,Ministra de la Mujer y Poblaciones Vulnerables,2019-03-11,2020-07-15,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","TVPeru (transferencia de cargo, 11-mar-2019, gobierno Vizcarra)",https://www.tvperu.gob.pe/noticias/politica/ex-ministra-de-la-mujer-transfiere-el-cargo-a-gloria-montenegro,2026-09-08
Rosario Sasieta Morales,Ministra de la Mujer y Poblaciones Vulnerables,2020-07-15,2020-11-10,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","El Peruano (juramentacion jul-2020, gobierno Vizcarra)",https://elperuano.pe/noticia/100759-rosario-sasieta-juro-como-ministra-de-la-mujer-y-poblaciones-vulnerables,2026-09-08
[NO DISPONIBLE — titular MIMP del gabinete de Manuel Merino / Antero Flores-Araoz (11-15 nov 2020); verificar Resolucion Suprema],Ministra/o de la Mujer y Poblaciones Vulnerables,2020-11-11,2020-11-15,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","[NO DISPONIBLE — verificar en El Peruano]","[NO DISPONIBLE — https://busquedas.elperuano.pe]",2026-09-08
Silvia Loli Espinoza,Ministra de la Mujer y Poblaciones Vulnerables,2020-11-18,2021-07-28,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","MIMP / gob.pe (juramento 18-nov-2020, gobierno Sagasti)",https://www.gob.pe/institucion/mimp/noticias/314816-silvia-loli-espinoza-jura-como-ministra-de-la-mujer-y-poblaciones-vulnerables,2026-09-08
Anahi Durand Guevara,Ministra de la Mujer y Poblaciones Vulnerables,2021-07-29,2022-02-08,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","Andina (juramento 29-jul-2021, gobierno Castillo)",https://andina.pe/agencia/noticia-anahi-durand-jura-como-ministra-de-mujer-y-poblaciones-vulnerables-855555.aspx,2026-09-08
Diana Miloslavich Tupac,Ministra de la Mujer y Poblaciones Vulnerables,2022-02-08,2022-08-24,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","RPP (juramento 08-feb-2022, gobierno Castillo)",https://rpp.pe/politica/gobierno/diana-miloslavich-la-hoja-de-vida-de-la-nueva-ministra-de-la-mujer-y-poblaciones-vulnerables-noticia-1385593,2026-09-08
Claudia Liliana Davila Moscoso,Ministra de la Mujer y Poblaciones Vulnerables,2022-08-24,2022-11-26,"[NO DISPONIBLE — https://busquedas.elperuano.pe]","El Comercio (juramento 24-ago-2022, gobierno Castillo)",https://elcomercio.pe/lima/sucesos/ministerio-de-la-mujer-claudia-davila-es-la-nueva-ministra-de-la-mujer-y-poblaciones-vulnerables-en-reemplazo-de-diana-miloslavich-rmmn-noticia/,2026-09-08
