departamento,anio,feminicidios,denuncias_violencia_sexual,atenciones_cem,vih_mujeres,fuente,url,fecha_descarga
AMAZONAS,2024-2025,1,195,2251,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
ANCASH,2024-2025,6,209,8194,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
APURIMAC,2024-2025,1,199,3177,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
AREQUIPA,2024-2025,11,916,16013,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
AYACUCHO,2024-2025,5,280,5939,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
CAJAMARCA,2024-2025,5,372,4126,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
CALLAO,2024-2025,1,296,4407,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
CUSCO,2024-2025,11,543,11081,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
HUANCAVELICA,2024-2025,1,126,2674,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
HUANUCO,2024-2025,3,387,5659,[NO DISPONIBLE],"feminicidios=Warmi Ñan/MIMP CEM Ene-Dic 2025 (dataset víctimas feminicidio); denuncias_violencia_sexual=INEI/MININTER-PNP 2024 (menores+mayores 18, ambos sexos, cuadros 8.30 y 8.31); atenciones_cem=Warmi Ñan/MIMP casos atendidos CEM Ene-Dic 2025; vih_mujeres=NO DISPONIBLE por depto",https://www.datosabiertos.gob.pe/dataset/mimp-numero-de-casos-de-victimas-de-feminicidio-atendidas-por-los-cem | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7.%20Denuncias%20menores%20de%2018_1_1.xlsx | https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8.%20Denuncias%20a%20mayores%20de%2018_1_1.xlsx | https://www.datosabiertos.gob.pe/dataset/numero-de-casos-atendidos-por-violencia-contra-la-mujer-integrantes-del-grupo-familiar-y,2026-09-08
