anio,categoria_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2019,GASTOS CORRIENTES,714784122.0,555877318.0,541599162.17,537862847.47,537530534.92,535403480.75,96.7,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,GASTOS DE CAPITAL,17861522.0,29310174.0,28717197.51,28375644.61,26755591.57,26755591.57,91.28,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2020,GASTOS CORRIENTES,702966140.0,546269575.0,531818398.37,530241476.87,530120001.73,528935294.87,97.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,GASTOS DE CAPITAL,29397134.0,30183045.0,26944234.48,26549058.67,26525268.67,26525268.67,87.88,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2021,GASTOS CORRIENTES,677197870.0,614873024.0,601387976.95,599857569.21,599853705.09,599414567.52,97.56,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,GASTOS DE CAPITAL,20153585.0,16023233.0,13099248.39,12891559.74,12891559.74,12886937.68,80.46,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2022,GASTOS CORRIENTES,697188922.0,715598162.0,704618297.82,701948324.59,701901577.82,701134260.99,98.09,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,GASTOS DE CAPITAL,16221127.0,25678029.0,22950660.38,22942281.72,22941608.72,22941608.72,89.34,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2023,GASTOS CORRIENTES,768938738.0,831599068.0,819652767.01,818157967.23,818015913.64,817288081.59,98.37,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2023,GASTOS DE CAPITAL,20605928.0,29461624.0,28469592.14,28175779.03,28128178.63,28128178.63,95.47,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2024,GASTOS CORRIENTES,943104955.0,899890709.0,893392018.56,891481354.18,891417814.62,890264953.85,99.06,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2024,GASTOS DE CAPITAL,26506553.0,32726404.0,31255677.29,30655565.31,30655565.31,30655336.53,93.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2025,GASTOS CORRIENTES,978764605.0,988799239.0,984397141.97,982925030.36,979353106.95,976743202.04,99.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
2025,GASTOS DE CAPITAL,17532528.0,16557851.0,16317042.49,16304405.19,16239590.4,16239590.4,98.08,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
