anio,departamento_meta,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2019,AMAZONAS,1445281.0,3434786.0,3380943.41,3347143.22,3346612.13,3340170.2,97.43,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ANCASH,5383291.0,10921094.0,10816219.69,10799018.15,10798980.47,10772617.12,98.88,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,APURIMAC,269994.0,4603795.0,4566961.49,4557651.87,4557651.87,4530850.94,99.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,AREQUIPA,18920092.0,16470287.0,15881301.35,15857312.43,15856672.43,15795387.13,96.27,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,AYACUCHO,2635079.0,7447953.0,7054562.16,7035201.06,7035182.78,6998130.45,94.46,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,CAJAMARCA,2465574.0,6242359.0,6151575.22,6140657.22,6140583.9,6120336.6,98.37,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,CUSCO,4600209.0,14429380.0,14225916.55,14198427.06,14139540.94,14096318.63,97.99,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,HUANCAVELICA,621565.0,3405665.0,3366692.35,3360814.3,3360814.3,3354771.96,98.68,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,HUANUCO,3616844.0,8693310.0,8548937.89,8529133.88,8528346.76,8427031.76,98.1,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ICA,7304192.0,10761454.0,10554899.21,10536870.14,9178633.14,9112934.91,85.29,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,JUNIN,3085385.0,11883914.0,11764452.83,11750239.63,11749665.88,11695567.36,98.87,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
