anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2017,A OTRAS UNIDADES DEL GOBIERNO,6272000.0,6259495.0,6201063.28,6198380.25,6198380.25,6182247.77,99.02,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,"ADQUISICION DE MAQUINARIAS, EQUIPO Y MOBILIARIO",1185556.0,8862640.0,8299084.74,8297486.99,8294382.99,8294382.99,93.59,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,ADQUISICION DE OTROS ACTIVOS FIJOS,0.0,441759.0,421345.96,421345.96,421345.96,421345.96,95.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,ADQUISICION DE VEHICULOS,0.0,543539.0,509559.0,375786.0,375786.0,375786.0,69.14,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,AL GOBIERNO LOCAL,174114.0,736682.0,692092.45,692085.57,686203.54,680797.42,93.15,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,AL GOBIERNO NACIONAL,0.0,76103.0,71545.85,71545.85,68710.85,68710.85,90.29,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,ALIMENTOS Y BEBIDAS,485012.0,1165403.0,1125103.42,1125103.42,1125103.42,1106297.47,96.54,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,ALQUILERES DE MUEBLES E INMUEBLES,1985633.0,1592910.0,1440340.49,1436368.75,1436368.75,1385270.51,90.17,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,ASISTENCIA SOCIAL EN PENSIONES E INDEMNIZACIONES,168700.0,168700.0,125073.66,125073.66,121268.76,121268.76,71.88,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,"COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES",1280141.0,1521079.0,1467215.26,1425760.4,1421796.21,1413399.72,93.47,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
