anio,fuente_financiamiento,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2017,DONACIONES Y TRANSFERENCIAS,507910.0,806215.0,729450.74,725950.74,725950.74,725950.74,90.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,RECURSOS DIRECTAMENTE RECAUDADOS,818000.0,950702.0,907043.29,898220.16,898220.16,898220.16,94.48,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,RECURSOS ORDINARIOS,424515160.0,401177163.0,395048250.46,393748616.06,393314513.22,392314392.95,98.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2018,RECURSOS DIRECTAMENTE RECAUDADOS,1742696.0,1742696.0,915427.86,912507.86,912507.86,912507.86,52.36,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,RECURSOS ORDINARIOS,442084255.0,442685887.0,435782750.55,433912846.22,433213259.91,431557592.24,97.86,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2019,RECURSOS DIRECTAMENTE RECAUDADOS,3981510.0,576670.0,431425.25,425138.33,425138.33,425138.33,73.72,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,RECURSOS ORDINARIOS,728664134.0,584610822.0,569884934.43,565813353.75,563860988.16,561733933.99,96.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2020,DONACIONES Y TRANSFERENCIAS,0.0,3753766.0,3456998.21,3456766.18,3447766.18,3447766.18,91.85,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,RECURSOS DIRECTAMENTE RECAUDADOS,240800.0,240800.0,179587.9,179587.9,178947.9,178715.9,74.31,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,RECURSOS ORDINARIOS,732122474.0,562908300.0,548760184.77,547098766.38,546963141.24,545778666.38,97.17,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,RECURSOS POR OPERACIONES OFICIALES DE CREDITO,0.0,9549754.0,6365861.97,6055415.08,6055415.08,6055415.08,63.41,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2021,DONACIONES Y TRANSFERENCIAS,0.0,1679573.0,835587.1,834202.81,834202.81,834202.81,49.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,RECURSOS DIRECTAMENTE RECAUDADOS,240000.0,240000.0,226000.0,226000.0,226000.0,226000.0,94.17,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,RECURSOS ORDINARIOS,688555120.0,620420349.0,605201109.54,603527802.59,603523938.47,603084800.9,97.28,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,RECURSOS POR OPERACIONES OFICIALES DE CREDITO,8556335.0,8556335.0,8224528.7,8161123.55,8161123.55,8156501.49,95.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2022,DONACIONES Y TRANSFERENCIAS,0.0,2820197.0,1373411.86,1373411.86,1373410.72,1373410.72,48.7,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,RECURSOS DIRECTAMENTE RECAUDADOS,185550.0,868542.0,717954.32,717954.32,717954.32,717594.32,82.66,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,RECURSOS ORDINARIOS,713224499.0,737587452.0,725477592.02,722799240.13,722751821.5,721984864.67,97.99,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2023,DONACIONES Y TRANSFERENCIAS,236962.0,3820089.0,2468993.7,2432348.7,2432348.7,2432348.7,63.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
