anio,generica_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2017,ADQUISICION DE ACTIVOS NO FINANCIEROS,3393178.0,10588474.0,9948410.7,9382075.78,9378971.78,9378971.78,88.58,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,BIENES Y SERVICIOS,309170344.0,287290453.0,282722738.55,282107994.83,281889122.81,280958297.26,98.12,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,DONACIONES Y TRANSFERENCIAS,6272000.0,6259495.0,6201063.28,6198380.25,6198380.25,6182247.77,99.02,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,OTROS GASTOS,16870548.0,8804656.0,8461572.24,8461565.36,8447483.83,8442077.71,95.94,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,PENSIONES Y OTRAS PRESTACIONES SOCIALES,49374000.0,50079076.0,49737015.12,49626933.3,49537279.56,49517507.19,98.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,PERSONAL Y OBLIGACIONES SOCIALES,40761000.0,39911926.0,39613944.6,39595837.44,39487445.89,39459462.14,98.94,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2018,ADQUISICION DE ACTIVOS NO FINANCIEROS,8258083.0,12806323.0,11398596.25,11180198.38,11042329.36,11040489.36,86.23,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,BIENES Y SERVICIOS,325277542.0,337145466.0,331409838.59,330350746.94,330140657.56,328614860.61,97.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,DONACIONES Y TRANSFERENCIAS,6272000.0,6324225.0,6324222.4,6319633.57,6319633.57,6309099.99,99.93,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,OTROS GASTOS,1375117.0,4371989.0,4296798.42,4208177.06,4200219.57,4190912.93,96.07,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,PENSIONES Y OTRAS PRESTACIONES SOCIALES,60553209.0,43544778.0,43500308.27,43084482.68,42815003.5,42716261.22,98.32,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
