anio,programa_ppto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2019,ACCESO DE PERSONAS ADULTAS MAYORES A SERVICIOS ESPECIALIZADOS,8127529.0,13932543.0,13267067.58,13240687.58,13218023.74,13184086.91,94.87,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ACCIONES CENTRALES,66974255.0,55839346.0,55194625.84,54968735.94,54936116.57,54862082.63,98.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,59789275.0,39447174.0,39283504.77,39212603.52,37625497.76,37498292.3,95.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,"ATENCION OPORTUNA DE NIÑAS, NIÑOS Y ADOLESCENTES EN PRESUNTO ESTADO DE ABANDONO",154242321.0,180627492.0,174650932.1,173651000.55,173376871.33,172678874.59,95.99,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,LUCHA CONTRA LA VIOLENCIA FAMILIAR,433612264.0,285371654.0,278369468.97,275628064.14,275592216.74,274399594.44,96.57,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES,9900000.0,9969283.0,9550760.42,9537400.35,9537400.35,9536141.45,95.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2020,ACCESO DE PERSONAS ADULTAS MAYORES A SERVICIOS ESPECIALIZADOS,16409595.0,16665171.0,16238007.86,16042331.42,16036115.43,16013740.95,96.23,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,ACCIONES CENTRALES,73575678.0,64869467.0,60747602.24,60638569.59,60637801.87,60562629.52,93.48,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,70419220.0,74193950.0,69689139.13,69061365.29,69049716.87,69019028.97,93.07,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,"ATENCION OPORTUNA DE NIÑAS, NIÑOS Y ADOLESCENTES EN PRESUNTO ESTADO DE ABANDONO",153894489.0,160913947.0,157909220.03,157469278.01,157375791.96,156881368.49,97.8,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
